Time (s),Value 1,Value 2,Value 3,Value 4
16.341662406921387,1.76,9.66,15.00,63.35
16.356661319732666,1.76,9.66,15.00,63.35
16.371660947799683,1.76,9.66,15.00,63.35
16.38766074180603,1.76,9.66,15.00,63.35
16.403661251068115,1.76,9.66,15.00,63.35
16.419663429260254,1.76,9.66,15.00,68.60
16.43366241455078,1.76,9.66,15.00,68.60
16.449662446975708,1.76,9.66,15.00,68.60
16.465661764144897,1.76,9.66,15.00,68.60
16.481662034988403,1.76,9.66,15.00,68.60
16.49666166305542,1.76,9.66,15.00,68.60
16.51166582107544,1.76,9.66,15.00,68.60
16.526663064956665,1.76,9.66,15.00,68.60
16.542662143707275,1.76,9.66,15.00,68.60
16.558660745620728,1.76,9.66,15.00,69.13
16.574663400650024,1.76,9.66,15.00,69.13
16.590662002563477,0.98,8.82,15.00,69.13
16.606661796569824,0.98,8.82,15.00,69.13
16.623663902282715,0.98,8.82,15.00,69.13
16.637661933898926,0.98,8.82,15.00,69.13
16.652661561965942,0.98,8.82,15.00,69.13
16.668663501739502,0.98,8.82,15.00,69.13
16.68366241455078,0.98,8.82,15.00,69.13
16.698662757873535,0.98,8.82,15.00,73.96
16.714662075042725,0.98,8.82,15.00,73.96
16.730660915374756,0.98,8.82,15.00,73.96
16.745661735534668,0.98,8.82,15.00,73.96
16.761663675308228,0.98,8.82,15.00,73.96
16.776662349700928,0.98,8.82,15.00,73.96
16.79266119003296,0.98,8.82,15.00,73.96
16.807661056518555,1.96,9.87,15.00,73.96
16.82366180419922,1.96,9.87,15.00,73.96
16.84166407585144,1.96,9.87,15.00,69.21
16.855661392211914,1.96,9.87,15.00,69.21
16.871663331985474,1.96,9.87,15.00,69.21
16.885660886764526,1.96,9.87,15.00,69.21
16.9006609916687,1.96,9.87,15.00,69.21
16.916661977767944,1.96,9.87,15.00,69.21
16.93266201019287,1.96,9.87,15.00,69.21
16.94866156578064,1.96,9.87,15.00,69.21
16.964663982391357,1.96,9.87,15.00,69.21
16.978702545166016,1.96,9.87,15.00,69.72
16.993664979934692,1.96,9.87,15.00,69.72
17.009660959243774,1.96,9.87,15.00,69.72
17.0256609916687,1.96,9.87,15.00,69.72
17.041662216186523,1.96,9.87,15.00,69.72
17.057663202285767,1.96,9.87,15.00,69.72
17.07266116142273,1.96,9.87,15.00,69.72
17.08866262435913,1.96,9.87,15.00,69.72
17.104660987854004,1.96,9.87,15.00,69.72
17.119662284851074,1.96,9.87,15.00,70.24
17.13466238975525,1.96,9.87,15.00,70.24
17.150662899017334,1.96,9.87,15.00,70.24
17.166661977767944,1.96,9.87,15.00,70.24
17.183663845062256,1.96,9.87,15.00,70.24
17.197662115097046,1.96,9.87,15.00,70.24
17.212661743164062,1.96,9.87,15.00,70.24
17.2276611328125,1.96,9.87,15.00,70.24
17.24366545677185,1.96,9.87,15.00,70.24
17.260665893554688,1.96,9.87,15.00,70.75
17.275663137435913,1.96,9.87,15.00,70.75
17.290663480758667,1.96,9.87,15.00,70.75
17.307663440704346,2.75,10.73,15.00,70.75
17.322662115097046,2.75,10.73,15.00,70.75
17.337661027908325,2.75,10.73,15.00,70.75
17.353662490844727,2.75,10.73,15.00,70.75
17.368664264678955,2.75,10.73,15.00,70.75
17.38366150856018,2.75,10.73,15.00,70.75
17.39969491958618,1.79,9.69,15.00,72.20
17.415661811828613,1.79,9.69,15.00,72.20
17.431660890579224,1.79,9.69,15.00,72.20
17.446661949157715,1.79,9.69,15.00,72.20
17.462663650512695,1.79,9.69,15.00,72.20
17.47766375541687,1.79,9.69,15.00,72.20
17.492661237716675,1.79,9.69,15.00,72.20
17.5086612701416,1.79,9.69,15.00,72.20
